Record,New/Recap,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,PCRsex,PCRMorph,last updated:,17-Nov-2023,by:,DR,
23,N,2831-20081,WTSP,W023,BW/RED,RED/A,07-Nov-20,M,TS,,,,,
24,N,2831-20082,WTSP,W024,BW/RED,YEL/A,07-Nov-20,M,WS,,,,,
25,N,2831-20083,WTSP,W025,BW/RED,ORG/A,07-Nov-20,F,WS,,,,,
26,N,2831-20084,WTSP,W026,BW/RED,DKB/A,10-Nov-20,F,WS,,,,,
27,N,2831-20086,WTSP,W027,BW/RED,GRN/A,10-Nov-20,M,WS,,,,,
28,N,2831-20087,WTSP,W028,BW/RED,WHT/A,10-Nov-20,F,TS,,,,,
29,N,2831-20088,WTSP,W029,BW/RED,BR/A,10-Nov-20,F,WS,,,,,
30,N,2831-20090,WTSP,W030,YEL/RW,RED/A,13-Nov-20,M,WS,,,,,
31,N,2831-20092,WTSP,W031,YEL/RW,YEL/A,13-Nov-20,M,WS,,,,,
32,N,2831-20099,WTSP,W032,YEL/RW,ORG/A,20-Nov-20,M,WS,,,,,
33,N,2831-20100,WTSP,W033,YEL/RW,DKB/A,20-Nov-20,M,TS,,,,,
34,N,2831-20102,WTSP,W034,YEL/RW,GRN/A,20-Nov-20,M,WS,,,,,
35,N,2831-20103,WTSP,W035,YEL/RW,WHT/A,20-Nov-20,M,TS,,,,,
36,N,2831-20104,WTSP,W036,YEL/BW,RED/A,20-Nov-20,F,TS,,,,,
37,N,2831-20105,WTSP,W037,YEL/BW,YEL/A,20-Nov-20,M,TS,,,,,
38,N,2831-20106,WTSP,W038,YEL/BW,DKB/A,21-Nov-20,M,WS,,,,,
39,N,2831-20107,WTSP,W039,YEL/BW,ORG/A,21-Nov-20,F,TS,,,,,
40,N,2831-20108,WTSP,W040,YEL/BW,GRN/A,21-Nov-20,M,WS,,,,,
41,N,2831-20109,WTSP,W041,YEL/BW,WHT/A,27-Nov-20,F,WS,,,,,
42,N,2831-20110,WTSP,W042,RW/DKB,DKB/A,27-Nov-20,M,WS,,,,,
43,N,2831-20111,WTSP,W043,RW/ORG,DKB/A,27-Nov-20,M,TS,,,,,
44,N,2831-20112,WTSP,W044,RW/WHT,DKB/A,27-Nov-20,F,WS,,,,,
45,N,2831-20113,WTSP,W045,RW/GRN,DKB/A,27-Nov-20,M,TS,,,,,
46,N,2831-20114,WTSP,W046,WL/RED,DKB/A,27-Nov-20,M,WS,,,,,
50,N,2831-20117,WTSP,W047,WL/RED,RED/A,10-Dec-20,M,WS,,,,,
51,N,2831-20118,WTSP,W048,WL/RED,YEL/A,10-Dec-20,M,WS,,,,,
53,N,2831-20119,WTSP,W049,WL/RED,ORG/A,12-Dec-20,M,WS,,,,,
54,N,2831-20120,WTSP,W050,WL/RED,GRN/A,12-Dec-20,M,TS,,,,,
55,N,2831-20121,WTSP,W051,WL/RED,WHT/A,12-Dec-20,M,TS,,,,,
56,N,2831-20122,WTSP,W052,WL/RED,BR/A,12-Dec-20,F,WS,,,,,
58,N,2831-20125,WTSP,W053,GRN/WR,RED/A,05-Mar-21,M,TS,,,,,
59,N,2831-20126,WTSP,W054,GRN/WR,YEL/A,05-Mar-21,M,TS,,,,,
60,N,2831-20127,WTSP,W055,GRN/WR,ORG/A,05-Mar-21,F,WS,,,,,
61,N,2831-20128,WTSP,W056,GRN/WR,DKB/A,05-Mar-21,M,WS,,,,,
62,N,2831-20130,WTSP,W057,GRN/WR,GRN/A,05-Mar-21,M,TS,,,,,
63,N,2831-20131,WTSP,W058,GRN/WR,WHT/A,05-Mar-21,M,WS,,,,,
64,N,2831-20132,WTSP,W059,ORG/WL,RED/A,05-Mar-21,M,WS,,,,,
65,N,2831-20133,WTSP,W060,ORG/WL,YEL/A,05-Mar-21,F,WS,,,,,
66,N,2831-20134,WTSP,W061,ORG/WL,ORG/A,05-Mar-21,M,TS,,,,,
67,N,2831-20135,WTSP,W062,ORG/WL,DKB/A,05-Mar-21,M,WS,,,,,
68,N,2831-20136,WTSP,W063,ORG/WL,GRN/A,05-Mar-21,F,WS,,,,,
70,N,2831-20137,WTSP,W064,ORG/WL,WHT/A,06-Mar-21,M,WS,,,,,
71,N,2831-20138,WTSP,W065,ORG/WL,BR/A,06-Mar-21,M,WS,,,,,
72,N,2831-20140,WTSP,W066,WL/WHT,RED/A,06-Mar-21,M,TS,,,,,
73,N,2831-20141,WTSP,W067,WL/WHT,ORG/A,07-Mar-21,F,TS,,,,,
74,N,2831-20143,WTSP,W068,WL/WHT,YEL/A,07-Mar-21,F,TS,,,,,
76,N,2831-20144,WTSP,W069,DKB/A,WL/WHT,20-Mar-21,F,TS,,,,,
77,N,2831-20145,WTSP,W070,WL/WHT,GRN/A,20-Mar-21,M,WS,,,,,
78,N,2831-20146,WTSP,W071,WL/WHT,DKB/A,20-Mar-21,M,WS,,,,,
79,N,2831-20147,WTSP,W072,WL/WHT,WHT/A,20-Mar-21,M,WS,,,,,
81,N,2831-20150,WTSP,W073,RED/A,RW/YEL,22-Mar-21,M,TS,,,,,
