Record,New_Recap,BanderID,Band_Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Season,Day,Month,Year,OrdDay,Time,Wing,Tail,Tarsus,Fat_Score,BirdMass,BirdAge,How_Aged,Eye,Skull,PCRsex,PCRMorph,Field_Morph,Band_Location,P4_Yes_No,R6_Yes_No,Blood_Yes_No,Images_Yes_No,Spec_Data,P4GenType,P4gen,R6gen,R6GenType,age_r6,age_a1,age_a2,age_a3,Latitude,Longitude,County,State,Comments
43,N,SW,2831-20111,WTSP,W043,RW/ORG,DKB/A,27-Nov-20,20.21,27,11,2020,332,1130,73,74,NA,2,26.2,HY,X,dull,6,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
44,N,SW,2831-20112,WTSP,W044,RW/WHT,DKB/A,27-Nov-20,20.21,27,11,2020,332,1130,73,74,NA,t,25.7,HY,X,dull,4,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
45,N,SW,2831-20113,WTSP,W045,RW/GRN,DKB/A,27-Nov-20,20.21,27,11,2020,332,1230,74,77,NA,1,28.2,HY,X,dull,4,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
46,N,SW,2831-20114,WTSP,W046,WL/RED,DKB/A,27-Nov-20,20.21,27,11,2020,332,1320,72,73,NA,2,28.0,HY,X,medium,6,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
47,R,SW,2831-20046,WTSP,W006,RW/YEL,DKB/A,10-Dec-20,20.21,10,12,2020,345,1530,NA,x,NA,3,29.5,HY,X,rich,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,p4 fully grown; resampled
48,R,SW,2831-20078,WTSP,W021,BW/YEL,WHT/A,10-Dec-20,20.21,10,12,2020,345,1500,NA,x,NA,4,27.9,HY,X,medium,NA,F,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,p4 fully grown; resampled
49,R,SW,2831-20087,WTSP,W028,BW/RED,WHT/A,10-Dec-20,20.21,10,12,2020,345,1500,NA,x,NA,3,25.7,HY,X,dull,NA,M,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,p4 fully grown; resampled
50,N,SW,2831-20117,WTSP,W047,WL/RED,RED/A,10-Dec-20,20.21,10,12,2020,345,1430,73,75,NA,2,29.2,HY,X,dull,6,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
51,N,SW,2831-20118,WTSP,W048,WL/RED,YEL/A,10-Dec-20,20.21,10,12,2020,345,1500,74,72,NA,4,30.1,HY,X,medium,6,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
52,R,SW,2831-20110,WTSP,W042,RW/DKB,DKB/A,12-Dec-20,20.21,10,12,2020,347,1030,NA,x,NA,NA,NA,HY,X,NA,NA,M,WS,NA,1616EAST,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,p4 half-grown; not sampled
53,N,SW,2831-20119,WTSP,W049,WL/RED,ORG/A,12-Dec-20,20.21,10,12,2020,347,1000,75,77,NA,2,30.2,HY,X,dull,5,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
54,N,SW,2831-20120,WTSP,W050,WL/RED,GRN/A,12-Dec-20,20.21,10,12,2020,347,1000,73,74,NA,2,26.9,HY,X,dull,5,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
55,N,SW,2831-20121,WTSP,W051,WL/RED,WHT/A,12-Dec-20,20.21,10,12,2020,347,1030,72,71,NA,1,27.7,HY,X,dull,5,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
56,N,SW,2831-20122,WTSP,W052,WL/RED,BR/A,12-Dec-20,20.21,10,12,2020,347,1140,71,71,NA,2,26.5,HY,X,dull,6,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
57,R,SW,2831-20111,WTSP,W043,RW/ORG,DKB/A,5-Mar-21,20.21,5,3,2021,64,1550,71,73,NA,3,28.3,SY,X,NA,NA,M,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
58,N,SW,2831-20125,WTSP,W053,GRN/WR,RED/A,5-Mar-21,20.21,5,3,2021,64,1420,74,71,NA,3,26.9,SY,X,NA,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
